---
Mod (Link) |Description |Downloads |Latest Supported Version
**[Farmcraft](https://www.curseforge.com/minecraft/mc-mods/farmcraft)**|Enhancing the default Minecraft farming experience|1,817|1.15-Snapshot
**[Fast Furnace for Fabric](https://www.curseforge.com/minecraft/mc-mods/fast-furnace-for-fabric)**|Optimizations and tweaks for the vanilla furnaces|6,871|1.16.2
**[FastBench for Fabric](https://www.curseforge.com/minecraft/mc-mods/fastbench-for-fabric)**|Crafting table optimizations|5,922|1.16.1
**[Fastest f in the west](https://www.curseforge.com/minecraft/mc-mods/fastest-f-in-the-west)**|Ever wanted to have that sweet sweet fastest F in the west? Well now you can!|160|1.16.1
**[FastFlyBlockBreaking](https://www.curseforge.com/minecraft/mc-mods/fastflyblockbreaking)**|Allows to break blocks with normal speed when other mod enables flying in survival mode.|117,095|1.14-Snapshot
**[FastGrowth](https://www.curseforge.com/minecraft/mc-mods/fastgrowth)**|Shift to make crops/trees grow|66|1.16.2
**[Features-mod](https://www.curseforge.com/minecraft/mc-mods/features-mod)**|Mods that add client featurs for better experience like local time editor, quick move in inventory...|113|1.16.2
**[Fence Hopper](https://www.curseforge.com/minecraft/mc-mods/fence-hopper)**|A mod that allows you to jump over fences and walls.|2,434|1.16-Snapshot
**[Fence Jumper](https://www.curseforge.com/minecraft/mc-mods/fence-jumper)**|Fence Jumping!|8,426,556|1.14.4
**[Fence Player Upper](https://www.curseforge.com/minecraft/mc-mods/fenceplayerupper)**|Allows players to jump on fences and walls. Configurable through tags!|31|1.16.2
**[Feral Hogs](https://www.curseforge.com/minecraft/mc-mods/feral-hogs)**|Spawns 30-50 feral hogs every 3-5 minutes|331|1.14.4
**[Fermion](https://www.curseforge.com/minecraft/mc-mods/fermion)**|Common Library for Grondag's Minecraft Mods (Fabric toolchain)|7,296|1.16.2
**[Ferroustry Fabric](https://www.curseforge.com/minecraft/mc-mods/ferroustry-fabric)**|Resource trees and decoration|52|1.16.2
**[Fiber2Cloth](https://www.curseforge.com/minecraft/mc-mods/fiber2cloth)**|A simple API to magically make fiber config nodes into cloth|613|1.16.2
**[Filtered Receptacles](https://www.curseforge.com/minecraft/mc-mods/filtered-receptacles)**|Provides basic blocks for an improved near-vanilla item sorting experience.|293|1.16.2
**[Finite Fluids Control (Fabric)](https://www.curseforge.com/minecraft/mc-mods/finite-fluids-control)**|Allow to control water and other fluid finite/infinite state.|160|1.15-Snapshot
**[Finite Water](https://www.curseforge.com/minecraft/mc-mods/finite-water)**|Finite your water|323|1.16.1
**[Fired Chainmail](https://www.curseforge.com/minecraft/mc-mods/fired-chainmail)**|Adds a balanced crafting recipe for chainmail armor.|11|1.15.2
**[First-person Model](https://www.curseforge.com/minecraft/mc-mods/first-person-model)**|Enables the third-person Model in first-person|71,466|1.16.2
**[Fish Help [Fabric]](https://www.curseforge.com/minecraft/mc-mods/fabric-fish-help)**|Displays particles when a fishing bobber can catch treasured loot.|406|1.16.1
**[Flame Retardant](https://www.curseforge.com/minecraft/mc-mods/flame-retardant)**|Don't you hate it when all your items go up in smoke?|934|1.14.2
**[Flamin' Hot](https://www.curseforge.com/minecraft/mc-mods/flamin-hot)**|Add flammability modifiers to blocks.|33|1.16.2
**[Flan](https://www.curseforge.com/minecraft/mc-mods/flan)**|F(abric) Lan(d) Claiming Mod|222|1.16.2
**[Flashy Clothing](https://www.curseforge.com/minecraft/mc-mods/flashy-clothing)**|A skin blinker mod for Fabric|358|1.15.2
**[Flax Mod (Fabric)](https://www.curseforge.com/minecraft/mc-mods/flax-mod-fabric)**|Flax is string! Grow flax to get string.|10,248|1.16-Snapshot
**[Flesh 2 Leather [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/flesh2leather-fabric)**|A simple mod used for turning flesh into leather|43,314|1.16.2
**[FleshZ](https://www.curseforge.com/minecraft/mc-mods/fleshz)**|Not another rottenflesh to leather mod anymore|1,110|1.16.1
**[Flight Rings [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/flight-rings-fabric)**|Two flight rings which grant creative flight|276|1.16.2
**[FlightHelper](https://www.curseforge.com/minecraft/mc-mods/flighthelper)**|This mod helps you keep your pitch when Elytra-flying|8,603|1.16.2
**[FlightHUD](https://www.curseforge.com/minecraft/mc-mods/flighthud)**|A client side Fabric and Forge Minecraft Mod that adds a flight style HUD like one you would see in a flight simulator.|3,273|1.16.2
**[Flonters](https://www.curseforge.com/minecraft/mc-mods/flonters)**|miscellaneous flora MOD.|49,500|1.16.2
**[Flora Doubling (Forge & Fabric)](https://www.curseforge.com/minecraft/mc-mods/flora-doubling)**|Allows doubling a flower by using bone meal on it|58,538|1.16.1
**[Floriculture](https://www.curseforge.com/minecraft/mc-mods/floriculture)**|Makes flowers farmable!|179|1.15.2
**[Flower Forest Helper](https://www.curseforge.com/minecraft/mc-mods/flower-forest-helper)**|Generate flower forest maps with a superflat preset.|5|1.15.2
**[Fluid Physics [Fabric]](https://www.curseforge.com/minecraft/mc-mods/fluid-physics)**|Blends together vanilla fluid mechanics with something a little more realistic plus some small additions|734|1.16.2
**[Fluid Potions](https://www.curseforge.com/minecraft/mc-mods/fluid-potions)**|A simple utility that converts all potions in the registry into fluid forms.|360|1.16-Snapshot
**[FluidSieve](https://www.curseforge.com/minecraft/mc-mods/fluidsieve)**|A block extracting resources from fluids (or any other block).|89|1.16.1
**[fly mod 3d](https://www.curseforge.com/minecraft/mc-mods/fly-mod-3d)**|You fly in the direction you are looking and modify the speed of flying and sprinting|7,661|1.16.2
**[Foam​Fix](https://www.curseforge.com/minecraft/mc-mods/foamfix-optimization-mod)**|Simple, targetted optimizations for a popular block game|36,882,776|1.14-Snapshot
**[FontFixer](https://www.curseforge.com/minecraft/mc-mods/fontfixer)**|You know how Mojang "fixed" text rendering and strikethrough no longer looks as good? Yeah, this fixes that.|1|1.15.2
**[Food Nerf](https://www.curseforge.com/minecraft/mc-mods/food-nerf)**|nerfs all foods|35|1.16-Snapshot
**[Food Tweaks](https://www.curseforge.com/minecraft/mc-mods/food-tweaks)**|fully customize, add, and remove foods from items|51|1.16-Snapshot
**[FoodArmors](https://www.curseforge.com/minecraft/mc-mods/foodarmors)**|Give your food another use.|7|1.16.1
**[Forgiving Enchanting Table](https://www.curseforge.com/minecraft/mc-mods/forgiving-enchanting-table)**|Makes the air requirement of the bookshelves less strict|587|1.16.1
**[FrameThrough](https://www.curseforge.com/minecraft/mc-mods/framethrough)**|a frame for through|49|1.15.2
**[FREX](https://www.curseforge.com/minecraft/mc-mods/frex)**|Rendering Extension API for Fabric Mods|7,493|1.16.2
**[FriendZ](https://www.curseforge.com/minecraft/mc-mods/inventory-friendz)**|Some adorable friends for your inventory|7,117|1.16.1
**[FroggyChair](https://www.curseforge.com/minecraft/mc-mods/froggychair)**|Froggy Chair from Animal Crossing|1,245|1.16.2
**[Full Belly Sheep (Fabric)](https://www.curseforge.com/minecraft/mc-mods/full-belly-sheep)**|Makes sheep eat grass only when they have no wool|221|1.16.2
**[fullscreeNO](https://www.curseforge.com/minecraft/mc-mods/fullscreeno)**|Stops Minecraft from starting in Fullscreen|289|1.16.2
**[Function API](https://www.curseforge.com/minecraft/mc-mods/function-api)**|Use function files to add functionality to items/blocks.|303|1.16.1
**[Functional Swords for Fabric](https://www.curseforge.com/minecraft/mc-mods/functional-swords-for-fabric)**|Functional Swords for Fabric|769|1.15.2
**[Funky Forcefields](https://www.curseforge.com/minecraft/mc-mods/funky-forcefields)**|Adds forcefields to protect your base from enemies!|533|1.15.2
**[Furnace XP Drop (Fabric)](https://www.curseforge.com/minecraft/mc-mods/furnace-xp-drop-fabric)**|Drops stored xp in a furnace when broken|4,335|1.15.2
**[Furret mod](https://www.curseforge.com/minecraft/mc-mods/furret-mod)**|A mod that adds Furret in the game|160|1.16.1
**[Game of Life 3D [Fabric]](https://www.curseforge.com/minecraft/mc-mods/game-of-life-3d)**|This mod implements John Conway's Game of Life and a 3D variation by Carter Bays|69|1.16.2
**[Game Start](https://www.curseforge.com/minecraft/mc-mods/game-start)**|Provides a config for giving players items when they first load into a world.|946|1.16.1
**[GameInfo](https://www.curseforge.com/minecraft/mc-mods/gameinfo)**|It shows information on the game screen, player position, nether/overworld coordinate conversion, address you are viewing, disable auto jump, game time and sends you a chat message with the coordinates of the last death point.|56,186|1.16.2
**[Gamemode Numbers (Fabric)](https://www.curseforge.com/minecraft/mc-mods/gamemode-numbers-fabric)**|Gamemode Numbers allows the player to use /gamemode with numbers again|5,037|1.14-Snapshot
**[Gate of Babylon](https://www.curseforge.com/minecraft/mc-mods/gate-of-babylon)**|Mod that adds in a bunch of new weapons & gear.|0|1.16.2
**[Generators](https://www.curseforge.com/minecraft/mc-mods/generators)**|Adds some energy generators, machines, and other functional blocks|5,634|1.14.4
**[Gestus](https://www.curseforge.com/minecraft/mc-mods/gestus)**|A server-side mod that adds data-driven emotes to Minecraft that can be viewed by vanilla clients.|27|1.16.2
**[Get Off My Lawn](https://www.curseforge.com/minecraft/mc-mods/get-off-my-lawn)**|Keep people off your lawn with claims!|6,438|1.16.2
**[Ghost Buster](https://www.curseforge.com/minecraft/mc-mods/ghost-buster)**|stops phantoms from spawning \| Who you gonna call?|1,497|1.14-Snapshot
**[Gift It! (Fabric)](https://www.curseforge.com/minecraft/mc-mods/gift-it)**|The replacement for all your ugly duct tape. Wrap your blocks and gift them to your friends!|9,909|1.16.1
**[Giselbaer's Durability Viewer](https://www.curseforge.com/minecraft/mc-mods/giselbaers-durability-viewer)**|Item durability HUD|942,808|1.16.2
**[Give Me Hats! [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/give-me-hats)**|A hat mod that adds hat's with some buffs for Fabric|52,677|1.16.1
**[Glass mod](https://www.curseforge.com/minecraft/mc-mods/glass-mod)**|a mod that makes glass break when it hits the floor|45|1.16-Snapshot
**[Glassential (Fabric)](https://www.curseforge.com/minecraft/mc-mods/glassential-fabric)**|Various types of glass to aid in your building but for Fabric.|57,843|1.16.1
**[Glimmering Potions](https://www.curseforge.com/minecraft/mc-mods/glimmering-potions)**|Glimmering Potions adds in a few new unique drinks based on Terraria's potions.|377|1.16.1
**[Glint Color [outdated]](https://www.curseforge.com/minecraft/mc-mods/glint-color)**|Allows you to change the glint color of enchanted items.|1,984|1.14.4
**[Glowcase](https://www.curseforge.com/minecraft/mc-mods/glowcase)**|Some blocks for showcasing things|2,858|1.16.1
**[Glowing Beds](https://www.curseforge.com/minecraft/mc-mods/glowing-beds)**|Makes hostile mobs glow when you try to sleep.|6,561|1.16.1
**[Go Down !](https://www.curseforge.com/minecraft/mc-mods/go-down)**|On-demand crawling. [FABRIC]|7,761|1.16.1
**[Golem Healer](https://www.curseforge.com/minecraft/mc-mods/golem-healer)**|Lets you heal Iron Golems with ingots!|1,311|1.14.4
**[Golems Galore](https://www.curseforge.com/minecraft/mc-mods/golems-galore)**|A Minecraft Fabric 1.16+ mod adding several new types of special golems!|49,766|1.16.2
**[GolemZ](https://www.curseforge.com/minecraft/mc-mods/golemz)**|A mini golem could be your friend|3,476|1.16.1
**[Good Ol' Regen](https://www.curseforge.com/minecraft/mc-mods/good-ol-regen)**|Configurable health regen |48|1.16.2
**[Gotosavium Mod](https://www.curseforge.com/minecraft/mc-mods/gotosavium-mod)**|The Gotosavium mod adds a new material to the world of minecraft!|104|1.16.2
**[Gotta Climb Fast!](https://www.curseforge.com/minecraft/mc-mods/gotta-climb-fast)**|Climb and descend any kind of climbable block with ease! Now with configurable speeds! FORGE & FABRIC!|15,353|1.16.2
**[Grass Kiss (Fabric)](https://www.curseforge.com/minecraft/mc-mods/grass-kiss)**|Ignore grass while you're holding a weapon|7,338|1.15.1
**[Gravel Ores (Fabric)](https://www.curseforge.com/minecraft/mc-mods/gravel-ores-fabric)**|Adds gravel ores|1,339|1.16.2
**[Gravestones](https://www.curseforge.com/minecraft/mc-mods/gravestones)**|A gravestones mod for fabric with tons of config options, an API, and more!|16,689|1.16.2
**[Great End Machines (GEMs)](https://www.curseforge.com/minecraft/mc-mods/great-end-machines)**|Great end-game machines from the End|482|1.15.2
**[Greater Eye of Ender [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/greater-eye-of-ender-fabric)**|Taking the Eye of Ender to the next level|2,677|1.16.1
**[Greenstone Circuits](https://www.curseforge.com/minecraft/mc-mods/greenstone-circuits)**|A computer mod with a programming language based on reverse polish notation.|987|1.15.2
**[Grid](https://www.curseforge.com/minecraft/mc-mods/grid)**|Show a grid overlay that helps counting when you're building, and optionally spawn locations depending on light level|23,642|1.16.2
**[Grind Enchantments](https://www.curseforge.com/minecraft/mc-mods/grind-enchantments)**|Disenchant and transfer enchantments using a grindstone.|9,669|1.16.2
**[Grindstone Books](https://www.curseforge.com/minecraft/mc-mods/grindstone-books)**|Like A Disenchantment table, but fully Vanilla compatible!|2,925|1.14.4
**[Gubbins](https://www.curseforge.com/minecraft/mc-mods/gubbins)**|Gubbins is a Fabric mod that adds a variety of miscellaneous vanilla style content to your game.|3,695|1.16.1
**[gudASM](https://www.curseforge.com/minecraft/mc-mods/gudasm)**|ASM hacks for all!|2|1.16.2
**[gudFPS](https://www.curseforge.com/minecraft/mc-mods/gudfps)**|A mod that aims to improve Minecraft performance, but probably doesn't do much! |357|1.16.2
**[Gulliver Reloaded](https://www.curseforge.com/minecraft/mc-mods/gulliver-reloaded)**|The Gulliver mod remade for modern Minecraft!|579|1.16-Snapshot
**[Gunpowder](https://www.curseforge.com/minecraft/mc-mods/gunpowder-mc)**|Fabric Server API|10,801|1.16.2
**[Gunpowder Currency](https://www.curseforge.com/minecraft/mc-mods/gunpowder-currency)**|A Currency extension for Gunpowder|21|1.16.2
**[Gunpowder Market](https://www.curseforge.com/minecraft/mc-mods/gunpowder-market)**|A Market extension for Gunpowder|32|1.16.2
**[Gunpowder SleepVote](https://www.curseforge.com/minecraft/mc-mods/gunpowder-sleepvote)**|A SleepVote extension for Gunpowder|24,915|1.16.2
**[Gunpowder Teleport](https://www.curseforge.com/minecraft/mc-mods/gunpowder-teleport)**|A Teleport extension for Gunpowder|30|1.16.2
**[Gunpowder Utilities](https://www.curseforge.com/minecraft/mc-mods/gunpowder-utilities)**|A Utilities extension for Gunpowder|101|1.16.2
**[Haema](https://www.curseforge.com/minecraft/mc-mods/haema)**|Play as a vampire, and unlock many new abilities|4,838|1.16.2
**[hands down](https://www.curseforge.com/minecraft/mc-mods/hands-down)**|a mod that adds an option that toggles visibility of the main hand when it does not hold anything|35|1.16.1
**[Handy Structures](https://www.curseforge.com/minecraft/mc-mods/handy-structures)**|A mod adding a command to save and load structures|843|1.16.2
**[Hard Hat Steve](https://www.curseforge.com/minecraft/mc-mods/hard-hat-steve)**|Effective gear for the effective builder|44,557|1.16.2
**[Hardcore Questing Mode: Fabric](https://www.curseforge.com/minecraft/mc-mods/hardcore-questing-mode-fabric)**|Hardcore Questing Mode|5,805|1.16.2
**[Harmful Stonecutters](https://www.curseforge.com/minecraft/mc-mods/harmful-stonecutters)**|Makes stonecutters damage entities that stand on them.|341|1.16.2
**[Hauling Hogs](https://www.curseforge.com/minecraft/mc-mods/hauling-hogs)**|Pigs can carry single/double/ender chests|37|1.16.2
**[Head-down Display](https://www.curseforge.com/minecraft/mc-mods/headdowndisplay)**|Automatically hides the Head-up Display when not in use.|82|1.16.2
**[heads down display](https://www.curseforge.com/minecraft/mc-mods/heads-down-display)**|a mod that allows hiding arm and hotbar when not in use|30|1.16.2
